iter	Passed	Remaining
0	0	98
1	1	90
2	2	85
3	3	78
4	4	76
5	5	79
6	5	78
7	6	75
8	7	74
9	8	72
10	8	70
11	9	69
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	33	44
43	34	43
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	58	20
74	58	19
75	59	18
76	60	17
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
